epoch,open,high,low,close
1781132100,1.15332,1.15334,1.15296,1.15298
1781132400,1.15298,1.15306,1.15282,1.15284
1781132700,1.15285,1.15286,1.15266,1.15273
1781133000,1.15272,1.1528,1.15257,1.15269
1781133300,1.15268,1.15335,1.15262,1.15318
1781133600,1.15318,1.15356,1.15302,1.15314
1781133900,1.15312,1.15366,1.15312,1.15358
1781134200,1.15357,1.15363,1.15322,1.15328
1781134500,1.15328,1.15363,1.15328,1.15356
1781134800,1.15356,1.15378,1.15351,1.15364
1781135100,1.15364,1.15364,1.15344,1.15349
1781135400,1.15348,1.15364,1.15348,1.15361
1781135700,1.15362,1.15375,1.15338,1.15354
1781136000,1.15355,1.15404,1.15355,1.15385
1781136300,1.15386,1.15406,1.15376,1.15376
1781136600,1.15374,1.15412,1.15368,1.15393
1781136900,1.15394,1.15428,1.15388,1.15408
1781137200,1.15408,1.15419,1.15396,1.15413
1781137500,1.15414,1.15418,1.154,1.15414
1781137800,1.15414,1.15424,1.15402,1.15406
1781138100,1.15406,1.15414,1.1539,1.15397
1781138400,1.15396,1.15422,1.15396,1.15403
1781138700,1.15402,1.1543,1.154,1.15406
1781139000,1.15406,1.15412,1.15399,1.1541
1781139300,1.1541,1.15428,1.15407,1.15425
1781139600,1.15426,1.15468,1.15416,1.15457
1781139900,1.15459,1.15494,1.15454,1.15485
1781140200,1.15486,1.15524,1.15484,1.15524
1781140500,1.15524,1.15528,1.15498,1.15514
1781140800,1.15514,1.15525,1.15504,1.15524
1781141100,1.15524,1.15558,1.15524,1.15548
1781141400,1.15549,1.1555,1.15526,1.15534
1781141700,1.15534,1.15553,1.15532,1.15552
1781142000,1.15551,1.15561,1.15534,1.15543
1781142300,1.15544,1.15556,1.1553,1.15548
1781142600,1.15548,1.1555,1.15538,1.15545
1781142900,1.15544,1.1555,1.15532,1.15541
1781143200,1.15541,1.15543,1.15524,1.15533
1781143500,1.15532,1.15533,1.15516,1.15522
1781143800,1.15522,1.15542,1.15517,1.15518
1781144100,1.15518,1.15521,1.15498,1.15508
1781144400,1.15508,1.1551,1.15488,1.15493
1781144700,1.15493,1.15496,1.15472,1.1548
1781145000,1.15479,1.15488,1.15467,1.15474
1781145300,1.15474,1.15484,1.1547,1.15475
1781145600,1.15474,1.15478,1.15462,1.15474
1781145900,1.15475,1.15482,1.1547,1.15482
1781146200,1.15481,1.15486,1.15462,1.15468
1781146500,1.15468,1.15488,1.15468,1.1548
